Z_space,k,weights,metric,train_f1,val_f1,val_accuracy,val_precision,val_recall
Z0,3,uniform,euclidean,0.9100,0.8558,0.8370,0.8396,0.8725
Z0,3,uniform,manhattan,0.9017,0.8846,0.8696,0.8679,0.9020
Z0,3,distance,euclidean,1.0000,0.8558,0.8370,0.8396,0.8725
Z0,3,distance,manhattan,1.0000,0.8846,0.8696,0.8679,0.9020
Z0,5,uniform,euclidean,0.8824,0.8309,0.8098,0.8190,0.8431
Z0,5,uniform,manhattan,0.9007,0.8804,0.8641,0.8598,0.9020
Z0,5,distance,euclidean,1.0000,0.8350,0.8152,0.8269,0.8431
Z0,5,distance,manhattan,1.0000,0.8804,0.8641,0.8598,0.9020
Z0,7,uniform,euclidean,0.8717,0.8421,0.8207,0.8224,0.8627
Z0,7,uniform,manhattan,0.8862,0.9038,0.8913,0.8868,0.9216
Z0,7,distance,euclidean,1.0000,0.8406,0.8207,0.8286,0.8529
Z0,7,distance,manhattan,1.0000,0.8986,0.8859,0.8857,0.9118
Z0,9,uniform,euclidean,0.8783,0.8544,0.8370,0.8462,0.8627
Z0,9,uniform,manhattan,0.8900,0.8889,0.8750,0.8762,0.9020
Z0,9,distance,euclidean,1.0000,0.8488,0.8315,0.8447,0.8529
Z0,9,distance,manhattan,1.0000,0.8835,0.8696,0.8750,0.8922
Z0,11,uniform,euclidean,0.8777,0.8654,0.8478,0.8491,0.8824
Z0,11,uniform,manhattan,0.8804,0.8889,0.8750,0.8762,0.9020
Z0,11,distance,euclidean,1.0000,0.8654,0.8478,0.8491,0.8824
Z0,11,distance,manhattan,1.0000,0.8889,0.8750,0.8762,0.9020
Z0,15,uniform,euclidean,0.8873,0.8708,0.8533,0.8505,0.8922
Z0,15,uniform,manhattan,0.8810,0.8932,0.8804,0.8846,0.9020
Z0,15,distance,euclidean,1.0000,0.8708,0.8533,0.8505,0.8922
Z0,15,distance,manhattan,1.0000,0.9029,0.8913,0.8942,0.9118
Z1,3,uniform,euclidean,0.8971,0.8431,0.8261,0.8431,0.8431
Z1,3,uniform,manhattan,0.8986,0.8713,0.8587,0.8800,0.8627
Z1,3,distance,euclidean,1.0000,0.8431,0.8261,0.8431,0.8431
Z1,3,distance,manhattan,1.0000,0.8713,0.8587,0.8800,0.8627
Z1,5,uniform,euclidean,0.8883,0.8137,0.7935,0.8137,0.8137
Z1,5,uniform,manhattan,0.8916,0.8473,0.8315,0.8515,0.8431
Z1,5,distance,euclidean,1.0000,0.8177,0.7989,0.8218,0.8137
Z1,5,distance,manhattan,1.0000,0.8473,0.8315,0.8515,0.8431
Z1,7,uniform,euclidean,0.8829,0.8400,0.8261,0.8571,0.8235
Z1,7,uniform,manhattan,0.8786,0.8614,0.8478,0.8700,0.8529
Z1,7,distance,euclidean,1.0000,0.8400,0.8261,0.8571,0.8235
Z1,7,distance,manhattan,1.0000,0.8614,0.8478,0.8700,0.8529
Z1,9,uniform,euclidean,0.8825,0.8529,0.8370,0.8529,0.8529
Z1,9,uniform,manhattan,0.8802,0.8824,0.8696,0.8824,0.8824
Z1,9,distance,euclidean,1.0000,0.8473,0.8315,0.8515,0.8431
Z1,9,distance,manhattan,1.0000,0.8824,0.8696,0.8824,0.8824
Z1,11,uniform,euclidean,0.8878,0.8529,0.8370,0.8529,0.8529
Z1,11,uniform,manhattan,0.8846,0.8889,0.8750,0.8762,0.9020
Z1,11,distance,euclidean,1.0000,0.8529,0.8370,0.8529,0.8529
Z1,11,distance,manhattan,1.0000,0.8889,0.8750,0.8762,0.9020
Z1,15,uniform,euclidean,0.8862,0.8515,0.8370,0.8600,0.8431
Z1,15,uniform,manhattan,0.8852,0.8835,0.8696,0.8750,0.8922
Z1,15,distance,euclidean,1.0000,0.8515,0.8370,0.8600,0.8431
Z1,15,distance,manhattan,1.0000,0.8835,0.8696,0.8750,0.8922
Z2,3,uniform,euclidean,0.9007,0.8293,0.8098,0.8252,0.8333
Z2,3,uniform,manhattan,0.8986,0.8515,0.8370,0.8600,0.8431
Z2,3,distance,euclidean,1.0000,0.8293,0.8098,0.8252,0.8333
Z2,3,distance,manhattan,1.0000,0.8515,0.8370,0.8600,0.8431
Z2,5,uniform,euclidean,0.8873,0.8473,0.8315,0.8515,0.8431
Z2,5,uniform,manhattan,0.8814,0.8515,0.8370,0.8600,0.8431
Z2,5,distance,euclidean,1.0000,0.8473,0.8315,0.8515,0.8431
Z2,5,distance,manhattan,1.0000,0.8515,0.8370,0.8600,0.8431
Z2,7,uniform,euclidean,0.8883,0.8571,0.8424,0.8614,0.8529
Z2,7,uniform,manhattan,0.8753,0.8473,0.8315,0.8515,0.8431
Z2,7,distance,euclidean,1.0000,0.8515,0.8370,0.8600,0.8431
Z2,7,distance,manhattan,1.0000,0.8473,0.8315,0.8515,0.8431
Z2,9,uniform,euclidean,0.8867,0.8614,0.8478,0.8700,0.8529
Z2,9,uniform,manhattan,0.8738,0.8670,0.8533,0.8713,0.8627
Z2,9,distance,euclidean,1.0000,0.8557,0.8424,0.8687,0.8431
Z2,9,distance,manhattan,1.0000,0.8670,0.8533,0.8713,0.8627
Z2,11,uniform,euclidean,0.8894,0.8586,0.8478,0.8854,0.8333
Z2,11,uniform,manhattan,0.8829,0.8812,0.8696,0.8900,0.8725
Z2,11,distance,euclidean,1.0000,0.8586,0.8478,0.8854,0.8333
Z2,11,distance,manhattan,1.0000,0.8812,0.8696,0.8900,0.8725
Z2,15,uniform,euclidean,0.8814,0.8442,0.8315,0.8660,0.8235
Z2,15,uniform,manhattan,0.8780,0.8955,0.8859,0.9091,0.8824
Z2,15,distance,euclidean,1.0000,0.8442,0.8315,0.8660,0.8235
Z2,15,distance,manhattan,1.0000,0.8955,0.8859,0.9091,0.8824
Z3,3,uniform,euclidean,0.8959,0.8039,0.7826,0.8039,0.8039
Z3,3,uniform,manhattan,0.9007,0.8571,0.8424,0.8614,0.8529
Z3,3,distance,euclidean,1.0000,0.8039,0.7826,0.8039,0.8039
Z3,3,distance,manhattan,1.0000,0.8571,0.8424,0.8614,0.8529
Z3,5,uniform,euclidean,0.8916,0.8358,0.8207,0.8485,0.8235
Z3,5,uniform,manhattan,0.8808,0.8586,0.8478,0.8854,0.8333
Z3,5,distance,euclidean,1.0000,0.8358,0.8207,0.8485,0.8235
Z3,5,distance,manhattan,1.0000,0.8586,0.8478,0.8854,0.8333
Z3,7,uniform,euclidean,0.8905,0.8500,0.8370,0.8673,0.8333
Z3,7,uniform,manhattan,0.8614,0.8643,0.8533,0.8866,0.8431
Z3,7,distance,euclidean,1.0000,0.8500,0.8370,0.8673,0.8333
Z3,7,distance,manhattan,1.0000,0.8643,0.8533,0.8866,0.8431
Z3,9,uniform,euclidean,0.8878,0.8543,0.8424,0.8763,0.8333
Z3,9,uniform,manhattan,0.8607,0.8571,0.8478,0.8936,0.8235
Z3,9,distance,euclidean,1.0000,0.8543,0.8424,0.8763,0.8333
Z3,9,distance,manhattan,1.0000,0.8571,0.8478,0.8936,0.8235
Z3,11,uniform,euclidean,0.8829,0.8500,0.8370,0.8673,0.8333
Z3,11,uniform,manhattan,0.8600,0.8526,0.8478,0.9205,0.7941
Z3,11,distance,euclidean,1.0000,0.8500,0.8370,0.8673,0.8333
Z3,11,distance,manhattan,1.0000,0.8526,0.8478,0.9205,0.7941
Z3,15,uniform,euclidean,0.8728,0.8426,0.8315,0.8737,0.8137
Z3,15,uniform,manhattan,0.8485,0.8482,0.8424,0.9101,0.7941
Z3,15,distance,euclidean,1.0000,0.8426,0.8315,0.8737,0.8137
Z3,15,distance,manhattan,1.0000,0.8482,0.8424,0.9101,0.7941